City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date, Median_Typical_Rental_Rate ,Link
21,Tennessee,TN,Nashville,1/1/2017," $1,353.92 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2017," $1,051.61 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2017," $2,211.54 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2017," $2,527.21 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2017," $1,174.16 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2017," $1,530.84 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2017, $907.79 ,https://www.zillow.com/research/data/
28,Kentucky,KY,Louisville,1/1/2017, $980.47 ,https://www.zillow.com/research/data/
29,Tennessee,TN,Memphis,1/1/2017, $884.24 ,https://www.zillow.com/research/data/
30,Maryland,MD,Baltimore,1/1/2017," $1,348.87 ",https://www.zillow.com/research/data/
31,Wisconsin,WI,Milwaukee,1/1/2017, $991.75 ,https://www.zillow.com/research/data/
32,New Mexico,NM,Albuquerque,1/1/2017," $1,024.98 ",https://www.zillow.com/research/data/
33,California,CA,Fresno,1/1/2017," $1,287.86 ",https://www.zillow.com/research/data/
34,Arizona,AZ,Tucson,1/1/2017, $998.51 ,https://www.zillow.com/research/data/
35,California,CA,Sacramento,1/1/2017," $1,469.76 ",https://www.zillow.com/research/data/
36,Arizona,AZ,Mesa,1/1/2017," $1,043.67 ",https://www.zillow.com/research/data/
37,Missouri,MO,Kansas City,1/1/2017, $942.18 ,https://www.zillow.com/research/data/
38,Georgia,GA,Atlanta,1/1/2017," $1,477.83 ",https://www.zillow.com/research/data/
39,Nebraska,NE,Omaha,1/1/2017, $971.72 ,https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2017," $1,283.55 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2017," $1,216.76 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2017," $1,351.34 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2017," $1,692.97 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2017," $2,078.95 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2017," $2,576.36 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2017," $1,414.24 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2017, $893.31 ,https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2017," $1,297.39 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2017, $765.82 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2017," $1,211.24 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2017," $1,405.45 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2017," $1,354.16 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2017," $1,377.90 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2017," $1,003.96 ",https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2017," $1,972.02 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2017," $1,918.13 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2017," $1,231.23 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2017," $1,282.31 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2017, $992.56 ,https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2017," $1,135.01 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2017," $1,669.72 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2017," $2,259.15 ",https://www.zillow.com/research/data/
