Identifier,Observation_Date,Median_Monthly_Income,percent_to_income_rent,percent_to_income_home_15yr_Payment_10_Perc_Down,percent_to_income_home_15yr_Payment_20_Perc_Down,percent_to_income_home_30yr_Payment_10_Perc_Down,percent_to_income_home_30yr_Payment_20_Perc_Down,percent_to_income_1br_15yr_Payment_10_Perc_Down,percent_to_income_1br_15yr_Payment_20_Perc_Down,percent_to_income_1br_30yr_Payment_10_Perc_Down,percent_to_income_1br_30yr_Payment_20_Perc_Down,percent_to_income_2br_15yr_Payment_10_Perc_Down,percent_to_income_2br_15yr_Payment_20_Perc_Down,percent_to_income_2br_30yr_Payment_10_Perc_Down,percent_to_income_2br_30yr_Payment_20_Perc_Down,percent_to_income_3br_15yr_Payment_10_Perc_Down,percent_to_income_3br_15yr_Payment_20_Perc_Down,percent_to_income_3br_30yr_Payment_10_Perc_Down,percent_to_income_3br_30yr_Payment_20_Perc_Down,percent_to_income_4br_15yr_Payment_10_Perc_Down,percent_to_income_4br_15yr_Payment_20_Perc_Down,percent_to_income_4br_30yr_Payment_10_Perc_Down,percent_to_income_4br_30yr_Payment_20_Perc_Down,percent_to_income_5_plus_br_15yr_Payment_10_Perc_Down,percent_to_income_5_plus_br_15yr_Payment_20_Perc_Down,percent_to_income_5_plus_br_30yr_Payment_10_Perc_Down,percent_to_income_5_plus_br_30yr_Payment_20_Perc_Down
201306,2013-01-01,3069.67,0.3,0.26,0.23,0.18,0.16,0.47,0.42,0.32,0.28,0.32,0.28,0.22,0.19,0.23,0.21,0.16,0.14,0.34,0.31,0.24,0.21,0.48,0.43,0.33,0.29
201406,2014-01-01,3253.58,0.29,0.25,0.23,0.18,0.16,0.46,0.41,0.32,0.28,0.31,0.27,0.21,0.19,0.22,0.2,0.15,0.14,0.33,0.3,0.23,0.2,0.48,0.43,0.33,0.3
201506,2015-01-01,3436.08,0.28,0.24,0.22,0.16,0.15,0.44,0.39,0.3,0.27,0.3,0.27,0.2,0.18,0.21,0.19,0.14,0.13,0.32,0.29,0.22,0.19,0.48,0.42,0.32,0.29
201606,2016-01-01,3454.08,0.28,0.25,0.22,0.16,0.15,0.44,0.39,0.29,0.26,0.31,0.27,0.2,0.18,0.22,0.19,0.14,0.13,0.32,0.29,0.22,0.19,0.48,0.43,0.32,0.28
201706,2017-01-01,3313.25,0.29,0.28,0.25,0.19,0.17,0.5,0.44,0.34,0.3,0.35,0.31,0.24,0.21,0.25,0.22,0.17,0.15,0.37,0.33,0.25,0.22,0.53,0.48,0.36,0.32
201806,2018-01-01,3843.0,0.27,0.28,0.25,0.2,0.17,0.47,0.41,0.32,0.28,0.35,0.31,0.24,0.21,0.25,0.23,0.18,0.16,0.37,0.33,0.25,0.23,0.53,0.47,0.37,0.33
201906,2019-01-01,3956.17,0.27,0.29,0.26,0.19,0.17,0.44,0.39,0.29,0.26,0.34,0.3,0.23,0.2,0.26,0.23,0.17,0.15,0.37,0.33,0.25,0.22,0.53,0.47,0.35,0.31
202006,2020-01-01,4093.92,0.26,0.28,0.25,0.18,0.16,0.4,0.36,0.26,0.23,0.33,0.29,0.21,0.18,0.25,0.22,0.16,0.14,0.36,0.32,0.23,0.2,0.5,0.45,0.32,0.28
202106,2021-01-01,4408.25,0.27,0.29,0.26,0.19,0.17,0.39,0.35,0.25,0.22,0.33,0.29,0.21,0.19,0.26,0.24,0.17,0.15,0.37,0.33,0.24,0.21,0.52,0.46,0.33,0.3
201107,2011-01-01,3551.08,0.22,0.25,0.23,0.18,0.16,0.12,0.1,0.08,0.07,0.16,0.14,0.11,0.1,0.22,0.2,0.16,0.14,0.34,0.3,0.23,0.21,0.47,0.42,0.33,0.29
201207,2012-01-01,3793.67,0.21,0.23,0.2,0.15,0.13,0.1,0.09,0.07,0.06,0.14,0.12,0.09,0.08,0.2,0.18,0.13,0.12,0.3,0.27,0.2,0.18,0.43,0.38,0.28,0.25
201307,2013-01-01,3783.25,0.22,0.24,0.21,0.16,0.14,0.1,0.09,0.07,0.06,0.14,0.13,0.1,0.09,0.21,0.19,0.14,0.13,0.32,0.28,0.22,0.19,0.45,0.4,0.31,0.27
