City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Taxes,Median_Typical_Home_Value,AnnualAverageRate15Year,15yr_Payment_10_Perc_Down,15yr_Payment_20_Perc_Down,AnnualAverageRate30Year,30yr_Payment_10_Perc_Down,30yr_Payment_20_Perc_Down
7,Texas,TX,San Antonio,1/1/2015,3025,163299.0,3.09,1021.3152978751438,907.8358203334611,3.85,689.0032396493117,612.4473241327215
7,Texas,TX,San Antonio,1/1/2016,3261,175554.5,2.93,1085.8010797579495,965.1565153403997,3.65,722.7817603066819,642.4726758281616
7,Texas,TX,San Antonio,1/1/2017,3432,186086.0,3.28,1179.2548394450212,1048.2265239511303,3.99,798.5974971413193,709.864441903395
7,Texas,TX,San Antonio,1/1/2018,3731,196600.0,4.0,1308.8038155730208,1163.3811693982407,4.54,900.739238550003,800.6571009333361
7,Texas,TX,San Antonio,1/1/2019,3989,207037.5,3.39,1322.024747416573,1175.1331088147317,3.94,883.1524842837559,785.0244304744497
7,Texas,TX,San Antonio,1/1/2020,6240,212575.0,2.61,1285.6148256467814,1142.7687339082502,3.11,817.9965950580325,727.1080844960289
7,Texas,TX,San Antonio,1/1/2021,8595,246945.0,2.27,1457.9997419731842,1295.9997706428303,2.96,932.2292850794322,828.6482534039396
8,California,CA,San Diego,1/1/2011,3205,433018.5,3.68,2820.592132750577,2507.193006889402,4.45,1963.0758790554526,1744.9563369381804
8,California,CA,San Diego,1/1/2012,3485,428818.0,2.93,2652.2307740311094,2357.538465805431,3.66,1767.6785278358877,1571.2698025207892
8,California,CA,San Diego,1/1/2013,3474,507243.0,3.11,3176.8421549024406,2823.8596932466144,3.98,2174.229611925458,1932.6485439337403
8,California,CA,San Diego,1/1/2014,3761,541555.5,3.29,3434.290599008219,3052.702754673973,4.17,2374.942999331855,2111.060443850538
8,California,CA,San Diego,1/1/2015,3975,557815.5,3.09,3488.72622331963,3101.089976284116,3.85,2353.576486240581,2092.067987769405
8,California,CA,San Diego,1/1/2016,4179,590133.0,2.93,3649.9608304019443,3244.40962702395,3.65,2429.6578473070367,2159.695864272921
8,California,CA,San Diego,1/1/2017,4544,634886.0,3.28,4023.3676256993635,3576.3267783994347,3.99,2724.6454358203396,2421.907054062524
8,California,CA,San Diego,1/1/2018,4946,676508.0,4.0,4503.643192602611,4003.238393424542,4.54,3099.477623565542,2755.0912209471485
8,California,CA,San Diego,1/1/2019,5059,689258.0,3.39,4401.212984869178,3912.189319883714,3.94,2940.1432832817873,2613.4606962504777
8,California,CA,San Diego,1/1/2020,2380,726759.5,2.61,4395.3088927655745,3906.9412380138438,3.11,2796.597889808671,2485.8647909410406
8,California,CA,San Diego,1/1/2021,3657,909939.5,2.27,5372.417162571456,4775.4819222857395,2.96,3435.0654985949745,3053.391554306644
9,Texas,TX,Dallas,1/1/2011,3141,130076.5,3.68,847.2911724458203,753.1477088407291,4.45,589.6977602156873,524.1757868583887
9,Texas,TX,Dallas,1/1/2012,3137,128011.5,2.93,791.7485733571897,703.7765096508354,3.66,527.6904884264741,469.0582119346436
9,Texas,TX,Dallas,1/1/2013,3245,134944.0,3.11,845.1487506996745,751.2433339552663,3.98,578.419496674511,514.1506637106766
9,Texas,TX,Dallas,1/1/2014,3468,145377.5,3.29,921.9158175982284,819.4807267539808,4.17,637.5399675293977,566.7021933594647
9,Texas,TX,Dallas,1/1/2015,3509,159655.5,3.09,998.52788161535,887.5803392136443,3.85,673.6303145018076,598.7825017793846
9,Texas,TX,Dallas,1/1/2016,3551,176023.5,2.93,1088.7018354002514,967.7349648002236,3.65,724.7126971131086,644.1890641005409
9,Texas,TX,Dallas,1/1/2017,4183,195097.5,3.28,1236.3620639845287,1098.9885013195812,3.99,837.2708059635252,744.2407164120224
9,Texas,TX,Dallas,1/1/2018,4262,218016.0,4.0,1451.3742251066515,1290.1104223170237,4.54,998.8584223383392,887.8741531896349
9,Texas,TX,Dallas,1/1/2019,4836,234389.5,3.39,1496.6791983799887,1330.381509671101,3.94,999.8269357726374,888.7350540201221
9,Texas,TX,Dallas,1/1/2020,6499,240299.0,2.61,1453.2845207013802,1291.8084628456716,3.11,924.6795897723165,821.937413130948
9,Texas,TX,Dallas,1/1/2021,7458,277199.5,2.27,1636.6267771167495,1454.7793574371105,2.96,1046.4414817444213,930.1702059950409
10,California,CA,San Jose,1/1/2011,5200,527956.5,3.68,3438.9984500304954,3056.887511138218,4.45,2393.474344261366,2127.532750454547
10,California,CA,San Jose,1/1/2012,5435,552563.5,2.93,3417.594222505443,3037.8615311159497,3.66,2277.7836616369777,2024.6965881217582
10,California,CA,San Jose,1/1/2013,5628,677070.0,3.11,4240.461707346963,3769.2992954195224,3.98,2902.170445617524,2579.7070627711323
10,California,CA,San Jose,1/1/2014,5834,739466.5,3.29,4689.34919732421,4168.310397621521,4.17,3242.863912222162,2882.545699753033
10,California,CA,San Jose,1/1/2015,6324,822023.5,3.09,5141.153196056733,4569.913952050429,3.85,3468.342455054017,3082.9710711591265
10,California,CA,San Jose,1/1/2016,6974,880424.0,2.93,5445.404873385832,4840.359887454073,3.65,3624.8253877641987,3222.0670113459546
10,California,CA,San Jose,1/1/2017,7510,937162.5,3.28,5938.939057593773,5279.056940083354,3.99,4021.8803505621145,3575.004756055213
